RPO,Description,Detail,"Grand Sport X Coupe
1YG07
1LT","Grand Sport X Coupe
1YG07
2LT","Grand Sport X Coupe
1YG07
3LT","Grand Sport X Convertible
1YG67
1LT","Grand Sport X Convertible
1YG67
2LT","Grand Sport X Convertible
1YG67
3LT"
SFZ,"LPO, Dark Stealth crossed flags emblems, front and rear on Z06 models, front and rear on Grand Sport, Grand Sport X, Z06, ZR1 and ZR1X models, Genuine Corvette Accessory
1. Not available with (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY). ","1. Not available with (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY).",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
R88,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory
1. Not available with (SFZ) Dark Stealth crossed flags emblems, LPO, (EYK) Chrome Exterior Badge Package, any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY).","1. Not available with (SFZ) Dark Stealth crossed flags emblems, LPO, (EYK) Chrome Exterior Badge Package, any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY).",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
VTB,"LPO, Rear fascia/roof storage protector in Black with embroidered crossed flags logo, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
RZ9,"LPO, Visible Carbon Fiber grille insert, Genuine Corvette Accessory
1. Not available at this time.",1. Not available at this time.,A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
VWE,"LPO, Front radiator grille screens, Genuine Corvette Accessory
1. Included with (PCQ) Grille Screen Protection Package, LPO.","1. Included with (PCQ) Grille Screen Protection Package, LPO.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
VWT,"LPO, Insect protection grille screen, Genuine Corvette Accessory
1. Included with (PCQ) Grille Screen Protection Package, LPO.","1. Included with (PCQ) Grille Screen Protection Package, LPO.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
5JR,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory",,--,--,A/D,--,--,A/D
SDA,"LPO, Black recovery hook, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
SBT,"LPO, Dual roof, adds transparent removable roof panel and includes (SC7) roof panel storage pouch, Genuine Corvette Accessories
1. Not available with (CC3) transparent, removable roof panel.","1. Not available with (CC3) transparent, removable roof panel.",A/D1,A/D1,A/D1,--,--,--
RIN,"LPO, Rear Corvette script badge in Arctic White, Genuine Corvette Accessory
1. Not available with RIK, SL8.","1. Not available with RIK, SL8.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
SL8,"LPO, Rear Corvette script badge in Edge Red, Genuine Corvette Accessory
1. Not available with RIK, RIN.","1. Not available with RIK, RIN.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
RIK,"LPO, Rear Corvette script badge in Torch Red, Genuine Corvette Accessory
1. Not available with RIN, SL8.","1. Not available with RIN, SL8.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
5ZV,"LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
SIG,"LPO, Spoiler extension, clear smoked center bridge with Jake logo, Genuine Corvette Accessory
1. Requires (T0E) rear spoiler.",1. Requires (T0E) rear spoiler.,A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
VPW,"LPO, Jake C8.R rear hash graphic, Genuine Corvette Accessory
1. Included with (PDA) Jake C8.R Graphics Package, LPO. Not available with (Z15) Grand Sport Heritage Graphics.","1. Included with (PDA) Jake C8.R Graphics Package, LPO. Not available with (Z15) Grand Sport Heritage Graphics.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
VPO,"LPO, Jake C8.R rear hash graphic with Tech Bronze accent, Genuine Corvette Accessory
1. Not available with (Z15) Grand Sport Heritage Graphics, (PDA) Jake C8.R Graphics Package, LPO or (VPW) LPO, Jake C8.R rear hash graphic.","1. Not available with (Z15) Grand Sport Heritage Graphics, (PDA) Jake C8.R Graphics Package, LPO or (VPW) LPO, Jake C8.R rear hash graphic.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
SNE,"LPO, Jake hood graphic
1. Included with (PDA) Jake C8.R Graphics Package, LPO. Not available with RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX) or (Z15) Grand Sport Heritage Graphics.","1. Included with (PDA) Jake C8.R Graphics Package, LPO. Not available with RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX) or (Z15) Grand Sport Heritage Graphics.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
SHT,"LPO, Jake hood graphic with Tech Bronze accent, Genuine Corvette Accessory
1. Not available with RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX), (Z15) Grand Sport Heritage Graphics, (PDA) Jake C8.R Graphics Package, LPO or (SNE) Jake hood graphic, LPO.","1. Not available with RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX), (Z15) Grand Sport Heritage Graphics, (PDA) Jake C8.R Graphics Package, LPO or (SNE) Jake hood graphic, LPO.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
5ZD,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
5ZC,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
5ZB,"LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
SPZ,"LPO, Black wheel locks, Genuine Corvette Accessory
1. Requires (SPY) Black lug nuts, LPO.","1. Requires (SPY) Black lug nuts, LPO.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
SFE,"LPO, Chrome wheel locks, Genuine Corvette Accessory
1. Not available with (SPY) Black lug nuts, LPO or (ROY/ROZ/STZ) wheels.","1. Not available with (SPY) Black lug nuts, LPO or (ROY/ROZ/STZ) wheels.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
SPY,"LPO, Black lug nuts, Genuine Corvette Accessory
1. Not available with (S47) Chrome lug nuts, LPO.","1. Not available with (S47) Chrome lug nuts, LPO.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
S47,"LPO, Chrome lug nuts, Genuine Corvette Accessory
1. Not available with (SPY) Black lug nuts, LPO or (ROY/ROZ/STZ) wheels.","1. Not available with (SPY) Black lug nuts, LPO or (ROY/ROZ/STZ) wheels.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
ZYC,"Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped), includes (DRG) Carbon Flash Metallic-painted outside mirrors
1. Not available with exterior color (GBA) Black.",1. Not available with exterior color (GBA) Black.,A1,A1,A1,A1,A1,A1
DRG,"Mirrors, outside, Carbon Flash Metallic-painted
1. Included and only available with (ZYC) Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped).
2. Included and only available with (ZYC) Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped) or (5JR) outside mirror covers in visible Carbon Fiber, LPO.","1. Included and only available with (ZYC) Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped).
2. Included and only available with (ZYC) Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped) or (5JR) outside mirror covers in visible Carbon Fiber, LPO.",A1,A1,A2,A1,A1,A2
DWK,"Mirrors, outside heated, power-adjustable, manual-folding with turn signal indicators",,S,--,--,S,--,--
DYX,"Mirrors, outside heated, power-adjustable, power-folding, driver-side auto-dimming with turn signal indicators",,--,■,■,--,■,■
CF7,"Roof panel, body-color, removable",,S,S,S,--,--,--
CC3,"Roof panel, transparent, removable",,A,A,A,--,--,--
C2Z,"Roof panel, visible carbon fiber with body-color surround, removable",,A,A,A,--,--,--
CF8,"Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY).","1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW) or Grand Sport Heritage Center Stripes (DMU, DMV, DMW, DMX, DMY).",--,A1,A1,--,--,--
UFG,Rear Cross Traffic Alert,,--,■,■,--,■,■
UD7,Rear Park Assist,,S,S,S,S,S,S
UFT,Side Blind Zone Alert,,--,■,■,--,■,■
T0E,"Spoiler, rear",,S,S,S,S,S,S
DMX,"Admiral Blue Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GTR) Admiral Blue Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe. ","1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GTR) Admiral Blue Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",A1,A1,A1,A2,A2,A2
DMU,"Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",A1,A1,A1,A2,A2,A2
DMY,"Red Mist Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GTR. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GTR. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",A1,A1,A1,A2,A2,A2
DMV,"Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",A1,A1,A1,A2,A2,A2
DMW,"Arctic White Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",A1,A1,A1,A2,A2,A2
20A,"Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.",1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.,A1,A1,A1,A1,A1,A1
97A,"Carbon Flash Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics.",1. Requires (Z15) Grand Sport Heritage Graphics.,A1,A1,A1,A1,A1,A1
DX4,"Red Mist Grand Sport Heritage Hash Marks 
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat",1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat,A1,A1,A1,A1,A1,A1
75A,"Torch Red Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat",1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat,A1,A1,A1,A1,A1,A1
17A,"Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic.",1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic.,A1,A1,A1,A1,A1,A1
55A,"Competition Yellow Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.",1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.,A1,A1,A1,A1,A1,A1
DUE,"NEW!  Asymmetrical Royal Blue/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic.",1. Not available with exterior color (GTR) Admiral Blue Metallic.,A1,A1,A1,A1,A1,A1
DUK,"Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.,A1,A1,A1,A1,A1,A1
DTC,"NEW!  Royal Blue Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic.",1. Not available with exterior color (GTR) Admiral Blue Metallic.,A1,A1,A1,A1,A1,A1
DPB,"Carbon Flash with Blue accent Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic.",1. Not available with exterior color (GTR) Admiral Blue Metallic.,A1,A1,A1,A1,A1,A1
DPC,"Carbon Flash with Yellow accent Full Length Dual Racing Stripes
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.",1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.,A1,A1,A1,A1,A1,A1
DPG,"Carbon Flash with Orange accent Full Length Dual Racing Stripes
1. Not available with exterior color (G26) Sebring Orange Tintcoat.",1. Not available with exterior color (G26) Sebring Orange Tintcoat.,A1,A1,A1,A1,A1,A1
DPL,"Carbon Flash with Red accent Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.,A1,A1,A1,A1,A1,A1
