missing_selectable_id,rpo,label,category_name,section_name,exists_in_production,production_choice_count,production_active_choice_count,blocker_type,missing_as_source_count,missing_as_target_count,total_blocked_relationships,suggested_catalog_slice,notes
opt_dt0_001,DT0,Competition Yellow Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dth_001,DTH,Carbon Flash Metallic Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dub_001,DUB,Sterling Silver Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_due_001,DUE,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_duk_001,DUK,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_duw_001,DUW,Edge Blue Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_r8c_001,R8C,Corvette Museum Delivery,Mechanical,Custom Delivery,true,6,6,missing_selectable,0,4,4,Custom Delivery,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_sfe_001,SFE,"LPO, Chrome wheel locks",Mechanical,Wheel Accessory,true,6,6,missing_selectable,1,3,4,Wheel Accessory,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_spy_001,SPY,"LPO, Black lug nuts",Mechanical,Wheel Accessory,true,6,6,missing_selectable,0,4,4,Wheel Accessory,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_s47_001,S47,"LPO, Chrome lug nuts",Mechanical,Wheel Accessory,true,6,6,missing_selectable,0,3,3,Wheel Accessory,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_spz_001,SPZ,"LPO, Black wheel locks",Mechanical,Wheel Accessory,true,6,6,missing_selectable,0,3,3,Wheel Accessory,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_z51_001,Z51,Z51 Performance Package,Mechanical,Performance,true,6,6,missing_selectable,0,3,3,Performance packages,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dzu_001,DZU,Carbon Flash/Competition Yellow Stinger Stripe,Exterior,Stripes,true,6,6,missing_selectable,0,2,2,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dzv_001,DZV,Carbon Flash/Midnight Silver Stinger Stripe,Exterior,Stripes,true,6,6,missing_selectable,0,2,2,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dzx_001,DZX,Carbon Flash/Edge Red Stinger Stripe,Exterior,Stripes,true,6,6,missing_selectable,0,2,2,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_bv4_001,BV4,Personalized Plaque,Interior,Interior Trim,true,6,6,missing_selectable,1,0,1,Interior Trim,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
