relationship_key,source_id,source_label,target_id,target_label,normalized_pair_key,original_bucket,proposed_schema_target,legacy_rule_id,compiler_support_required,confidence,notes
legacy_rel_0067,opt_cf8_001,,opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,opt_cf8_001<->opt_dt0_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dt0_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0068,opt_cf8_001,,opt_dth_001,Carbon Flash Metallic Full Length Dual Racing Stripes,opt_cf8_001<->opt_dth_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dth_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0069,opt_cf8_001,,opt_dub_001,Sterling Silver Full Length Dual Racing Stripes,opt_cf8_001<->opt_dub_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dub_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0070,opt_cf8_001,,opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,opt_cf8_001<->opt_due_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_due_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0071,opt_cf8_001,,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,opt_cf8_001<->opt_duk_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_duk_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0072,opt_cf8_001,,opt_duw_001,Edge Blue Full Length Dual Racing Stripes,opt_cf8_001<->opt_duw_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_duw_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0073,opt_d84_001,Convertible top,opt_gba_001,Black,opt_d84_001<->opt_gba_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_d84_001_excludes_opt_gba_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0074,opt_d86_001,Convertible top,opt_gba_001,Black,opt_d86_001<->opt_gba_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_d86_001_excludes_opt_gba_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0075,opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,opt_gtr_001,NEW! Admiral Blue Metallic,opt_dpb_001<->opt_gtr_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dpb_001_excludes_opt_gtr_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0076,opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,opt_gbk_001,Competition Yellow Tintcoat Metallic,opt_dpc_001<->opt_gbk_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dpc_001_excludes_opt_gbk_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0077,opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,opt_g26_001,Sebring Orange Tintcoat,opt_dpg_001<->opt_g26_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dpg_001_excludes_opt_g26_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0078,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,opt_gkz_001,Torch Red,opt_dpl_001<->opt_gkz_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dpl_001_excludes_opt_gkz_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0079,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,opt_gph_001,Red Mist Metallic Tintcoat,opt_dpl_001<->opt_gph_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dpl_001_excludes_opt_gph_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0080,opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,opt_g26_001,Sebring Orange Tintcoat,opt_dsy_001<->opt_g26_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dsy_001_excludes_opt_g26_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0081,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,opt_gkz_001,Torch Red,opt_dsz_001<->opt_gkz_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dsz_001_excludes_opt_gkz_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0082,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,opt_gph_001,Red Mist Metallic Tintcoat,opt_dsz_001<->opt_gph_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dsz_001_excludes_opt_gph_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0083,opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,opt_gbk_001,Competition Yellow Tintcoat Metallic,opt_dt0_001<->opt_gbk_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dt0_001_excludes_opt_gbk_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0084,opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,opt_gtr_001,NEW! Admiral Blue Metallic,opt_due_001<->opt_gtr_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_due_001_excludes_opt_gtr_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0085,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,opt_gkz_001,Torch Red,opt_duk_001<->opt_gkz_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_duk_001_excludes_opt_gkz_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0086,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,opt_gph_001,Red Mist Metallic Tintcoat,opt_duk_001<->opt_gph_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_duk_001_excludes_opt_gph_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0087,opt_duw_001,Edge Blue Full Length Dual Racing Stripes,opt_gtr_001,NEW! Admiral Blue Metallic,opt_duw_001<->opt_gtr_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_duw_001_excludes_opt_gtr_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0088,opt_dzu_001,Carbon Flash/Competition Yellow Stinger Stripe,opt_gbk_001,Competition Yellow Tintcoat Metallic,opt_dzu_001<->opt_gbk_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dzu_001_excludes_opt_gbk_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0089,opt_dzx_001,Carbon Flash/Edge Red Stinger Stripe,opt_gkz_001,Torch Red,opt_dzx_001<->opt_gkz_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dzx_001_excludes_opt_gkz_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0090,opt_dzx_001,Carbon Flash/Edge Red Stinger Stripe,opt_gph_001,Red Mist Metallic Tintcoat,opt_dzx_001<->opt_gph_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_dzx_001_excludes_opt_gph_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0092,opt_efy_001,Body-color accents,opt_gba_001,Black,opt_efy_001<->opt_gba_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_efy_001_excludes_opt_gba_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0098,opt_pcu_001,"LPO, Stingray Protection Package",opt_5vm_001,,opt_5vm_001<->opt_pcu_001,unclear_needs_research,research_deferred,rule_opt_pcu_001_excludes_opt_5vm_001,manual_research,low,Deferred for manual research; current metadata was insufficient.
legacy_rel_0099,opt_pcu_001,"LPO, Stingray Protection Package",opt_5w8_001,,opt_5w8_001<->opt_pcu_001,unclear_needs_research,research_deferred,rule_opt_pcu_001_excludes_opt_5w8_001,manual_research,low,Deferred for manual research; current metadata was insufficient.
legacy_rel_0173,opt_rnx_001,"LPO, Premium outdoor car cover",opt_5zu_001,"LPO, High wing spoiler, Body color",opt_5zu_001<->opt_rnx_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_rnx_001_excludes_opt_5zu_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0174,opt_rnx_001,"LPO, Premium outdoor car cover",opt_5zw_001,,opt_5zw_001<->opt_rnx_001,unclear_needs_research,research_deferred,rule_opt_rnx_001_excludes_opt_5zw_001,manual_research,low,Deferred for manual research; current metadata was insufficient.
legacy_rel_0178,opt_ryq_001,,opt_efy_001,Body-color accents,opt_efy_001<->opt_ryq_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_ryq_001_excludes_opt_efy_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0179,opt_rz9_001,"LPO, Visible Carbon Fiber grille insert",opt_efy_001,Body-color accents,opt_efy_001<->opt_rz9_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_rz9_001_excludes_opt_efy_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0181,opt_sbt_001,"LPO, Dual roof",opt_cc3_001,Roof panel,opt_cc3_001<->opt_sbt_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_sbt_001_excludes_opt_cc3_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0206,opt_wkq_001,"LPO, Premium indoor car cover",opt_5zu_001,"LPO, High wing spoiler, Body color",opt_5zu_001<->opt_wkq_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_wkq_001_excludes_opt_5zu_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0207,opt_wkq_001,"LPO, Premium indoor car cover",opt_5zw_001,,opt_5zw_001<->opt_wkq_001,unclear_needs_research,research_deferred,rule_opt_wkq_001_excludes_opt_5zw_001,manual_research,low,Deferred for manual research; current metadata was insufficient.
