direction_key,manifest_row_id,group_key,ref_id,pair_key,source_id,source_label,source_category,source_section,source_ownership_status,source_projection_status,target_id,target_label,target_category,target_section,target_ownership_status,target_projection_status,candidate_status
production_owned/not_projected->projected_owned/projected_owned,csv_row_85,opt_pcx_001->opt_eyk_001,,opt_pcx_001->opt_eyk_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_eyk_001,Chrome Exterior Badge Package,Exterior,Badges,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_77,opt_pcx_001->opt_sb7_001,,opt_pcx_001->opt_sb7_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sb7_001,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos",Exterior,Stripes,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_83,opt_pcx_001->opt_sfz_001,,opt_pcx_001->opt_sfz_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_84,opt_pcx_001->opt_sfz_001,,opt_pcx_001->opt_sfz_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_80,opt_pcx_001->opt_sht_001,,opt_pcx_001->opt_sht_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sht_001,"LPO, Jake hood graphic with Tech Bronze accent",Exterior,Stripes,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_81,opt_pcx_001->opt_sht_001,,opt_pcx_001->opt_sht_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sht_001,"LPO, Jake hood graphic with Tech Bronze accent",Exterior,Stripes,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_78,opt_pcx_001->opt_sng_001,,opt_pcx_001->opt_sng_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sng_001,"LPO, Fender hash stripes",Exterior,Stripes,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_79,opt_pcx_001->opt_sng_001,,opt_pcx_001->opt_sng_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sng_001,"LPO, Fender hash stripes",Exterior,Stripes,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_75,opt_pdv_001->opt_sb7_001,,opt_pdv_001->opt_sb7_001,opt_pdv_001,"LPO, Stingray R Appearance Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sb7_001,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos",Exterior,Stripes,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_76,opt_pdv_001->opt_sb7_001,,opt_pdv_001->opt_sb7_001,opt_pdv_001,"LPO, Stingray R Appearance Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_sb7_001,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos",Exterior,Stripes,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_73,opt_pdv_001->opt_vwd_001,,opt_pdv_001->opt_vwd_001,opt_pdv_001,"LPO, Stingray R Appearance Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_vwd_001,"LPO, Stingray R logo wheel center caps",Mechanical,Wheel Accessory,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_74,opt_pdv_001->opt_vwd_001,,opt_pdv_001->opt_vwd_001,opt_pdv_001,"LPO, Stingray R Appearance Package",Mechanical,LPO Exterior,production_owned,not_projected,opt_vwd_001,"LPO, Stingray R logo wheel center caps",Mechanical,Wheel Accessory,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_175,opt_z51_001->opt_t0a_001,,opt_z51_001->opt_t0a_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_t0a_001,Z51 Spoiler,Mechanical,Spoiler,projected_owned,projected_owned,manifest_only_preservation
production_owned/not_projected->projected_owned/projected_owned,csv_row_181,opt_z51_001->opt_tvs_001,,opt_z51_001->opt_tvs_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_tvs_001,Low-profile rear spoiler and front splitter,Mechanical,Spoiler,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_146,opt_5v7_001->opt_z51_001,,opt_5v7_001->opt_z51_001,opt_5v7_001,"LPO, Black Ground Effects",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_206,opt_5zu_001->opt_g8g_001,,opt_5zu_001->opt_g8g_001,opt_5zu_001,"LPO, High wing spoiler, Body color",Mechanical,Spoiler,projected_owned,projected_owned,opt_g8g_001,Arctic White,Exterior,Paint,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_207,opt_5zu_001->opt_gba_001,,opt_5zu_001->opt_gba_001,opt_5zu_001,"LPO, High wing spoiler, Body color",Mechanical,Spoiler,projected_owned,projected_owned,opt_gba_001,Black,Exterior,Paint,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_208,opt_5zu_001->opt_gkz_001,,opt_5zu_001->opt_gkz_001,opt_5zu_001,"LPO, High wing spoiler, Body color",Mechanical,Spoiler,projected_owned,projected_owned,opt_gkz_001,Torch Red,Exterior,Paint,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_162,opt_d84_001->opt_gba_001,,opt_d84_001->opt_gba_001,opt_d84_001,Convertible top,Exterior,Roof,projected_owned,projected_owned,opt_gba_001,Black,Exterior,Paint,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_163,opt_d86_001->opt_gba_001,,opt_d86_001->opt_gba_001,opt_d86_001,Convertible top,Exterior,Roof,projected_owned,projected_owned,opt_gba_001,Black,Exterior,Paint,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_89,opt_r88_001->opt_dpb_001,,opt_r88_001->opt_dpb_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_90,opt_r88_001->opt_dpc_001,,opt_r88_001->opt_dpc_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_91,opt_r88_001->opt_dpg_001,,opt_r88_001->opt_dpg_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_92,opt_r88_001->opt_dpl_001,,opt_r88_001->opt_dpl_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_93,opt_r88_001->opt_dpt_001,,opt_r88_001->opt_dpt_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpt_001,Carbon Flash with Silver accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_94,opt_r88_001->opt_dsy_001,,opt_r88_001->opt_dsy_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_95,opt_r88_001->opt_dsz_001,,opt_r88_001->opt_dsz_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_96,opt_r88_001->opt_dt0_001,,opt_r88_001->opt_dt0_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_97,opt_r88_001->opt_dth_001,,opt_r88_001->opt_dth_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dth_001,Carbon Flash Metallic Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_98,opt_r88_001->opt_dub_001,,opt_r88_001->opt_dub_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dub_001,Sterling Silver Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_99,opt_r88_001->opt_due_001,,opt_r88_001->opt_due_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_100,opt_r88_001->opt_duk_001,,opt_r88_001->opt_duk_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_101,opt_r88_001->opt_duw_001,,opt_r88_001->opt_duw_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_duw_001,Edge Blue Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_128,opt_rnx_001->opt_z51_001,,opt_rnx_001->opt_z51_001,opt_rnx_001,"LPO, Premium outdoor car cover",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_129,opt_rwj_001->opt_z51_001,,opt_rwj_001->opt_z51_001,opt_rwj_001,"LPO, Premium outdoor car cover",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_109,opt_sfz_001->opt_dpb_001,,opt_sfz_001->opt_dpb_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_110,opt_sfz_001->opt_dpc_001,,opt_sfz_001->opt_dpc_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_111,opt_sfz_001->opt_dpg_001,,opt_sfz_001->opt_dpg_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_112,opt_sfz_001->opt_dpl_001,,opt_sfz_001->opt_dpl_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_113,opt_sfz_001->opt_dpt_001,,opt_sfz_001->opt_dpt_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dpt_001,Carbon Flash with Silver accent Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_114,opt_sfz_001->opt_dsy_001,,opt_sfz_001->opt_dsy_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_115,opt_sfz_001->opt_dsz_001,,opt_sfz_001->opt_dsz_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_116,opt_sfz_001->opt_dt0_001,,opt_sfz_001->opt_dt0_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_117,opt_sfz_001->opt_dth_001,,opt_sfz_001->opt_dth_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dth_001,Carbon Flash Metallic Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_118,opt_sfz_001->opt_dub_001,,opt_sfz_001->opt_dub_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_dub_001,Sterling Silver Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_119,opt_sfz_001->opt_due_001,,opt_sfz_001->opt_due_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_120,opt_sfz_001->opt_duk_001,,opt_sfz_001->opt_duk_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_121,opt_sfz_001->opt_duw_001,,opt_sfz_001->opt_duw_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_duw_001,Edge Blue Full Length Dual Racing Stripes,Exterior,Stripes,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_82,opt_sht_001->opt_pdv_001,,opt_sht_001->opt_pdv_001,opt_sht_001,"LPO, Jake hood graphic with Tech Bronze accent",Exterior,Stripes,projected_owned,projected_owned,opt_pdv_001,"LPO, Stingray R Appearance Package",Mechanical,LPO Exterior,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->production_owned/not_projected,csv_row_179,opt_t0a_001->opt_z51_001,,opt_t0a_001->opt_z51_001,opt_t0a_001,Z51 Spoiler,Mechanical,Spoiler,projected_owned,projected_owned,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_144,opt_5v7_001->opt_sti_001,,opt_5v7_001->opt_sti_001,opt_5v7_001,"LPO, Black Ground Effects",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_sti_001,"LPO, Composite rocker extensions",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_145,opt_5v7_001->opt_tvs_001,,opt_5v7_001->opt_tvs_001,opt_5v7_001,"LPO, Black Ground Effects",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_tvs_001,Low-profile rear spoiler and front splitter,Mechanical,Spoiler,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_159,opt_5zu_001->opt_t0a_001,,opt_5zu_001->opt_t0a_001,opt_5zu_001,"LPO, High wing spoiler, Body color",Mechanical,Spoiler,projected_owned,projected_owned,opt_t0a_001,Z51 Spoiler,Mechanical,Spoiler,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_161,opt_5zz_001->opt_t0a_001,,opt_5zz_001->opt_t0a_001,opt_5zz_001,"LPO, High wing spoiler",Mechanical,Spoiler,projected_owned,projected_owned,opt_t0a_001,Z51 Spoiler,Mechanical,Spoiler,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_167,opt_pcu_001->opt_5v7_001,,opt_pcu_001->opt_5v7_001,opt_pcu_001,"LPO, Stingray Protection Package",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_5v7_001,"LPO, Black Ground Effects",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_88,opt_r88_001->opt_eyk_001,,opt_r88_001->opt_eyk_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_eyk_001,Chrome Exterior Badge Package,Exterior,Badges,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_87,opt_r88_001->opt_sfz_001,,opt_r88_001->opt_sfz_001,opt_r88_001,"LPO, Illuminated crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_106,opt_rik_001->opt_rin_001,,opt_rik_001->opt_rin_001,opt_rik_001,"LPO, Rear Corvette script badge in Torch Red",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_rin_001,"LPO, Rear Corvette script badge in Arctic White",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_107,opt_rik_001->opt_sl8_001,,opt_rik_001->opt_sl8_001,opt_rik_001,"LPO, Rear Corvette script badge in Torch Red",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_sl8_001,"LPO, Rear Corvette script badge in Edge Red",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_102,opt_rin_001->opt_rik_001,,opt_rin_001->opt_rik_001,opt_rin_001,"LPO, Rear Corvette script badge in Arctic White",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_rik_001,"LPO, Rear Corvette script badge in Torch Red",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_103,opt_rin_001->opt_sl8_001,,opt_rin_001->opt_sl8_001,opt_rin_001,"LPO, Rear Corvette script badge in Arctic White",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_sl8_001,"LPO, Rear Corvette script badge in Edge Red",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_125,opt_rnx_001->opt_5zu_001,,opt_rnx_001->opt_5zu_001,opt_rnx_001,"LPO, Premium outdoor car cover",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_5zu_001,"LPO, High wing spoiler, Body color",Mechanical,Spoiler,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_127,opt_rnx_001->opt_5zz_001,,opt_rnx_001->opt_5zz_001,opt_rnx_001,"LPO, Premium outdoor car cover",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_5zz_001,"LPO, High wing spoiler",Mechanical,Spoiler,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_86,opt_sbt_001->opt_cc3_001,,opt_sbt_001->opt_cc3_001,opt_sbt_001,"LPO, Dual roof",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_cc3_001,Roof panel,Exterior,Roof,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_108,opt_sfz_001->opt_eyk_001,,opt_sfz_001->opt_eyk_001,opt_sfz_001,"LPO, Dark Stealth crossed flags emblem",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_eyk_001,Chrome Exterior Badge Package,Exterior,Badges,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_105,opt_sl8_001->opt_rik_001,,opt_sl8_001->opt_rik_001,opt_sl8_001,"LPO, Rear Corvette script badge in Edge Red",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_rik_001,"LPO, Rear Corvette script badge in Torch Red",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
projected_owned/projected_owned->projected_owned/projected_owned,csv_row_104,opt_sl8_001->opt_rin_001,,opt_sl8_001->opt_rin_001,opt_sl8_001,"LPO, Rear Corvette script badge in Edge Red",Mechanical,LPO Exterior,projected_owned,projected_owned,opt_rin_001,"LPO, Rear Corvette script badge in Arctic White",Mechanical,LPO Exterior,projected_owned,projected_owned,manifest_only_preservation
