exclusion_rule_id,source_selector_type,source_selector_id,source_must_be_selected,target_selector_type,target_selector_id,scope_condition_set_id,directionality,violation_behavior,message,priority,active,normalized_pair_key,legacy_rule_id,compiler_support_required,dry_run_notes
excl_5v7_z51,selectable,opt_5v7_001,true,selectable,opt_z51_001,,directional,disable_and_block,Conflicts with Z51.,114,true,opt_5v7_001<->opt_z51_001,rule_opt_5v7_001_excludes_opt_z51_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5vm_5v7,selectable,opt_5vm_001,true,selectable,opt_5v7_001,,directional_preserved,disable_and_block,Conflicts with 5V7.,115,true,opt_5v7_001<->opt_5vm_001,rule_opt_5vm_001_excludes_opt_5v7_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5vm_5w8,selectable,opt_5vm_001,true,selectable,opt_5w8_001,,directional_preserved,disable_and_block,Conflicts with opt_5w8_001.,116,true,opt_5vm_001<->opt_5w8_001,rule_opt_5vm_001_excludes_opt_5w8_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5vm_sti,selectable,opt_5vm_001,true,selectable,opt_sti_001,,directional_preserved,disable_and_block,Conflicts with STI.,117,true,opt_5vm_001<->opt_sti_001,rule_opt_5vm_001_excludes_opt_sti_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5w8_5v7,selectable,opt_5w8_001,true,selectable,opt_5v7_001,,directional_preserved,disable_and_block,Conflicts with 5V7.,118,true,opt_5v7_001<->opt_5w8_001,rule_opt_5w8_001_excludes_opt_5v7_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5w8_5vm,selectable,opt_5w8_001,true,selectable,opt_5vm_001,,directional_preserved,disable_and_block,Conflicts with opt_5vm_001.,119,true,opt_5vm_001<->opt_5w8_001,rule_opt_5w8_001_excludes_opt_5vm_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5w8_sti,selectable,opt_5w8_001,true,selectable,opt_sti_001,,directional_preserved,disable_and_block,Conflicts with STI.,120,true,opt_5w8_001<->opt_sti_001,rule_opt_5w8_001_excludes_opt_sti_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_bv4_r8c,selectable,opt_bv4_001,true,selectable,opt_r8c_001,,directional,disable_and_block,Conflicts with R8C.,121,true,opt_bv4_001<->opt_r8c_001,rule_opt_bv4_001_excludes_opt_r8c_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcu_5v7,selectable,opt_pcu_001,true,selectable,opt_5v7_001,,directional,disable_and_block,Conflicts with 5V7.,122,true,opt_5v7_001<->opt_pcu_001,rule_opt_pcu_001_excludes_opt_5v7_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dpb,selectable,opt_pcx_001,true,selectable,opt_dpb_001,,directional,disable_and_block,Conflicts with DPB.,123,true,opt_dpb_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dpb_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dpc,selectable,opt_pcx_001,true,selectable,opt_dpc_001,,directional,disable_and_block,Conflicts with DPC.,124,true,opt_dpc_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dpc_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dpg,selectable,opt_pcx_001,true,selectable,opt_dpg_001,,directional,disable_and_block,Conflicts with DPG.,125,true,opt_dpg_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dpg_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dpl,selectable,opt_pcx_001,true,selectable,opt_dpl_001,,directional,disable_and_block,Conflicts with DPL.,126,true,opt_dpl_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dpl_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dpt,selectable,opt_pcx_001,true,selectable,opt_dpt_001,,directional,disable_and_block,Conflicts with DPT.,127,true,opt_dpt_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dpt_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dsy,selectable,opt_pcx_001,true,selectable,opt_dsy_001,,directional,disable_and_block,Conflicts with DSY.,128,true,opt_dsy_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dsy_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dsz,selectable,opt_pcx_001,true,selectable,opt_dsz_001,,directional,disable_and_block,Conflicts with DSZ.,129,true,opt_dsz_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dsz_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dt0,selectable,opt_pcx_001,true,selectable,opt_dt0_001,,directional,disable_and_block,Conflicts with DT0.,130,true,opt_dt0_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dt0_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dth,selectable,opt_pcx_001,true,selectable,opt_dth_001,,directional,disable_and_block,Conflicts with DTH.,131,true,opt_dth_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dth_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dub,selectable,opt_pcx_001,true,selectable,opt_dub_001,,directional,disable_and_block,Conflicts with DUB.,132,true,opt_dub_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dub_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_due,selectable,opt_pcx_001,true,selectable,opt_due_001,,directional,disable_and_block,Conflicts with DUE.,133,true,opt_due_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_due_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_duk,selectable,opt_pcx_001,true,selectable,opt_duk_001,,directional,disable_and_block,Conflicts with DUK.,134,true,opt_duk_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_duk_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_duw,selectable,opt_pcx_001,true,selectable,opt_duw_001,,directional,disable_and_block,Conflicts with DUW.,135,true,opt_duw_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_duw_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dzu,selectable,opt_pcx_001,true,selectable,opt_dzu_001,,directional,disable_and_block,Conflicts with DZU.,136,true,opt_dzu_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dzu_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dzv,selectable,opt_pcx_001,true,selectable,opt_dzv_001,,directional,disable_and_block,Conflicts with DZV.,137,true,opt_dzv_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dzv_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_dzx,selectable,opt_pcx_001,true,selectable,opt_dzx_001,,directional,disable_and_block,Conflicts with DZX.,138,true,opt_dzx_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_dzx_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_eyk,selectable,opt_pcx_001,true,selectable,opt_eyk_001,,directional,disable_and_block,Conflicts with EYK.,139,true,opt_eyk_001<->opt_pcx_001,rule_opt_pcx_001_excludes_opt_eyk_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_pdv,selectable,opt_pcx_001,true,selectable,opt_pdv_001,,directional,disable_and_block,Conflicts with PDV.,140,true,opt_pcx_001<->opt_pdv_001,rule_opt_pcx_001_excludes_opt_pdv_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_r8c,selectable,opt_pcx_001,true,selectable,opt_r8c_001,,directional,disable_and_block,Conflicts with R8C.,141,true,opt_pcx_001<->opt_r8c_001,rule_opt_pcx_001_excludes_opt_r8c_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_s47,selectable,opt_pcx_001,true,selectable,opt_s47_001,,directional,disable_and_block,Conflicts with S47.,142,true,opt_pcx_001<->opt_s47_001,rule_opt_pcx_001_excludes_opt_s47_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_sb7,selectable,opt_pcx_001,true,selectable,opt_sb7_001,,directional,disable_and_block,Conflicts with SB7.,143,true,opt_pcx_001<->opt_sb7_001,rule_opt_pcx_001_excludes_opt_sb7_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_sfe,selectable,opt_pcx_001,true,selectable,opt_sfe_001,,directional,disable_and_block,Conflicts with SFE.,144,true,opt_pcx_001<->opt_sfe_001,rule_opt_pcx_001_excludes_opt_sfe_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_spy,selectable,opt_pcx_001,true,selectable,opt_spy_001,,directional,disable_and_block,Conflicts with SPY.,145,true,opt_pcx_001<->opt_spy_001,rule_opt_pcx_001_excludes_opt_spy_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pcx_spz,selectable,opt_pcx_001,true,selectable,opt_spz_001,,directional,disable_and_block,Conflicts with SPZ.,146,true,opt_pcx_001<->opt_spz_001,rule_opt_pcx_001_excludes_opt_spz_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dpb,selectable,opt_pdv_001,true,selectable,opt_dpb_001,,directional,disable_and_block,Conflicts with DPB.,147,true,opt_dpb_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dpb_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dpc,selectable,opt_pdv_001,true,selectable,opt_dpc_001,,directional,disable_and_block,Conflicts with DPC.,148,true,opt_dpc_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dpc_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dpg,selectable,opt_pdv_001,true,selectable,opt_dpg_001,,directional,disable_and_block,Conflicts with DPG.,149,true,opt_dpg_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dpg_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dpl,selectable,opt_pdv_001,true,selectable,opt_dpl_001,,directional,disable_and_block,Conflicts with DPL.,150,true,opt_dpl_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dpl_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dpt,selectable,opt_pdv_001,true,selectable,opt_dpt_001,,directional,disable_and_block,Conflicts with DPT.,151,true,opt_dpt_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dpt_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dsy,selectable,opt_pdv_001,true,selectable,opt_dsy_001,,directional,disable_and_block,Conflicts with DSY.,152,true,opt_dsy_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dsy_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dsz,selectable,opt_pdv_001,true,selectable,opt_dsz_001,,directional,disable_and_block,Conflicts with DSZ.,153,true,opt_dsz_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dsz_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dt0,selectable,opt_pdv_001,true,selectable,opt_dt0_001,,directional,disable_and_block,Conflicts with DT0.,154,true,opt_dt0_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dt0_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dth,selectable,opt_pdv_001,true,selectable,opt_dth_001,,directional,disable_and_block,Conflicts with DTH.,155,true,opt_dth_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dth_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dub,selectable,opt_pdv_001,true,selectable,opt_dub_001,,directional,disable_and_block,Conflicts with DUB.,156,true,opt_dub_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dub_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_due,selectable,opt_pdv_001,true,selectable,opt_due_001,,directional,disable_and_block,Conflicts with DUE.,157,true,opt_due_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_due_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_duk,selectable,opt_pdv_001,true,selectable,opt_duk_001,,directional,disable_and_block,Conflicts with DUK.,158,true,opt_duk_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_duk_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_duw,selectable,opt_pdv_001,true,selectable,opt_duw_001,,directional,disable_and_block,Conflicts with DUW.,159,true,opt_duw_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_duw_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dzu,selectable,opt_pdv_001,true,selectable,opt_dzu_001,,directional,disable_and_block,Conflicts with DZU.,160,true,opt_dzu_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dzu_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dzv,selectable,opt_pdv_001,true,selectable,opt_dzv_001,,directional,disable_and_block,Conflicts with DZV.,161,true,opt_dzv_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dzv_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_pdv_dzx,selectable,opt_pdv_001,true,selectable,opt_dzx_001,,directional,disable_and_block,Conflicts with DZX.,162,true,opt_dzx_001<->opt_pdv_001,rule_opt_pdv_001_excludes_opt_dzx_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dpb,selectable,opt_r88_001,true,selectable,opt_dpb_001,,directional,disable_and_block,Conflicts with DPB.,163,true,opt_dpb_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dpb_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dpc,selectable,opt_r88_001,true,selectable,opt_dpc_001,,directional,disable_and_block,Conflicts with DPC.,164,true,opt_dpc_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dpc_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dpg,selectable,opt_r88_001,true,selectable,opt_dpg_001,,directional,disable_and_block,Conflicts with DPG.,165,true,opt_dpg_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dpg_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dpl,selectable,opt_r88_001,true,selectable,opt_dpl_001,,directional,disable_and_block,Conflicts with DPL.,166,true,opt_dpl_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dpl_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dpt,selectable,opt_r88_001,true,selectable,opt_dpt_001,,directional,disable_and_block,Conflicts with DPT.,167,true,opt_dpt_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dpt_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dsy,selectable,opt_r88_001,true,selectable,opt_dsy_001,,directional,disable_and_block,Conflicts with DSY.,168,true,opt_dsy_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dsy_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dsz,selectable,opt_r88_001,true,selectable,opt_dsz_001,,directional,disable_and_block,Conflicts with DSZ.,169,true,opt_dsz_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dsz_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dt0,selectable,opt_r88_001,true,selectable,opt_dt0_001,,directional,disable_and_block,Conflicts with DT0.,170,true,opt_dt0_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dt0_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dth,selectable,opt_r88_001,true,selectable,opt_dth_001,,directional,disable_and_block,Conflicts with DTH.,171,true,opt_dth_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dth_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_dub,selectable,opt_r88_001,true,selectable,opt_dub_001,,directional,disable_and_block,Conflicts with DUB.,172,true,opt_dub_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_dub_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_due,selectable,opt_r88_001,true,selectable,opt_due_001,,directional,disable_and_block,Conflicts with DUE.,173,true,opt_due_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_due_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_duk,selectable,opt_r88_001,true,selectable,opt_duk_001,,directional,disable_and_block,Conflicts with DUK.,174,true,opt_duk_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_duk_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_duw,selectable,opt_r88_001,true,selectable,opt_duw_001,,directional,disable_and_block,Conflicts with DUW.,175,true,opt_duw_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_duw_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_eyk,selectable,opt_r88_001,true,selectable,opt_eyk_001,,directional,disable_and_block,Conflicts with EYK.,176,true,opt_eyk_001<->opt_r88_001,rule_opt_r88_001_excludes_opt_eyk_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_r88_sfz,selectable,opt_r88_001,true,selectable,opt_sfz_001,,directional,disable_and_block,Conflicts with SFZ.,177,true,opt_r88_001<->opt_sfz_001,rule_opt_r88_001_excludes_opt_sfz_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_rik_rin,selectable,opt_rik_001,true,selectable,opt_rin_001,,directional_preserved,disable_and_block,Conflicts with RIN.,178,true,opt_rik_001<->opt_rin_001,rule_opt_rik_001_excludes_opt_rin_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
