relationship_key,legacy_id,source_id,source_label,target_id,target_label,source_section,target_section,source_rpo,target_rpo,inverse_pair_key,has_inverse_pair,same_section,section_pattern,bucket,confidence,evidence_detail,proposed_schema_action,notes
legacy_rel_0027,rule_opt_5v7_001_excludes_opt_5vm_001,opt_5v7_001,"LPO, Black Ground Effects",opt_5vm_001,,LPO Exterior,,5V7,opt_5vm_001,opt_5v7_001<->opt_5vm_001,true,false,LPO Exterior -> (unknown),duplicate_inverse_pair,high,Inverse legacy row exists for opt_5vm_001 -> opt_5v7_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0028,rule_opt_5v7_001_excludes_opt_5w8_001,opt_5v7_001,"LPO, Black Ground Effects",opt_5w8_001,,LPO Exterior,,5V7,opt_5w8_001,opt_5v7_001<->opt_5w8_001,true,false,LPO Exterior -> (unknown),duplicate_inverse_pair,high,Inverse legacy row exists for opt_5w8_001 -> opt_5v7_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0029,rule_opt_5v7_001_excludes_opt_sti_001,opt_5v7_001,"LPO, Black Ground Effects",opt_sti_001,"LPO, Composite rocker extensions",LPO Exterior,LPO Exterior,5V7,STI,opt_5v7_001<->opt_sti_001,true,true,LPO Exterior -> LPO Exterior,duplicate_inverse_pair,high,Inverse legacy row exists for opt_sti_001 -> opt_5v7_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0030,rule_opt_5v7_001_excludes_opt_tvs_001,opt_5v7_001,"LPO, Black Ground Effects",opt_tvs_001,Low-profile rear spoiler and front splitter,LPO Exterior,Spoiler,5V7,TVS,opt_5v7_001<->opt_tvs_001,false,false,LPO Exterior -> Spoiler,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Exterior -> Spoiler; selection modes multi_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0031,rule_opt_5v7_001_excludes_opt_z51_001,opt_5v7_001,"LPO, Black Ground Effects",opt_z51_001,Z51 Performance Package,LPO Exterior,Performance,5V7,Z51,opt_5v7_001<->opt_z51_001,false,false,LPO Exterior -> Performance,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Exterior -> Performance; selection modes multi_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0032,rule_opt_5vm_001_excludes_opt_5v7_001,opt_5vm_001,,opt_5v7_001,"LPO, Black Ground Effects",,LPO Exterior,opt_5vm_001,5V7,opt_5v7_001<->opt_5vm_001,true,false,(unknown) -> LPO Exterior,duplicate_inverse_pair,high,Inverse legacy row exists for opt_5v7_001 -> opt_5vm_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0033,rule_opt_5vm_001_excludes_opt_5w8_001,opt_5vm_001,,opt_5w8_001,,,,opt_5vm_001,opt_5w8_001,opt_5vm_001<->opt_5w8_001,true,false,(unknown) -> (unknown),duplicate_inverse_pair,high,Inverse legacy row exists for opt_5w8_001 -> opt_5vm_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0034,rule_opt_5vm_001_excludes_opt_sti_001,opt_5vm_001,,opt_sti_001,"LPO, Composite rocker extensions",,LPO Exterior,opt_5vm_001,STI,opt_5vm_001<->opt_sti_001,true,false,(unknown) -> LPO Exterior,duplicate_inverse_pair,high,Inverse legacy row exists for opt_sti_001 -> opt_5vm_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0035,rule_opt_5vm_001_excludes_opt_tvs_001,opt_5vm_001,,opt_tvs_001,Low-profile rear spoiler and front splitter,,Spoiler,opt_5vm_001,TVS,opt_5vm_001<->opt_tvs_001,false,false,(unknown) -> Spoiler,unclear_needs_research,low,Missing production choice metadata for opt_5vm_001.,manual_research,Rule-only or structured option references need more context before assigning a concrete rule model.
legacy_rel_0040,rule_opt_5w8_001_excludes_opt_5v7_001,opt_5w8_001,,opt_5v7_001,"LPO, Black Ground Effects",,LPO Exterior,opt_5w8_001,5V7,opt_5v7_001<->opt_5w8_001,true,false,(unknown) -> LPO Exterior,duplicate_inverse_pair,high,Inverse legacy row exists for opt_5v7_001 -> opt_5w8_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0041,rule_opt_5w8_001_excludes_opt_5vm_001,opt_5w8_001,,opt_5vm_001,,,,opt_5w8_001,opt_5vm_001,opt_5vm_001<->opt_5w8_001,true,false,(unknown) -> (unknown),duplicate_inverse_pair,high,Inverse legacy row exists for opt_5vm_001 -> opt_5w8_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0042,rule_opt_5w8_001_excludes_opt_sti_001,opt_5w8_001,,opt_sti_001,"LPO, Composite rocker extensions",,LPO Exterior,opt_5w8_001,STI,opt_5w8_001<->opt_sti_001,true,false,(unknown) -> LPO Exterior,duplicate_inverse_pair,high,Inverse legacy row exists for opt_sti_001 -> opt_5w8_001.,collapse_duplicate_inverse,Preserved as a raw row; candidate action is to collapse symmetric duplicates during modeling.
legacy_rel_0043,rule_opt_5w8_001_excludes_opt_tvs_001,opt_5w8_001,,opt_tvs_001,Low-profile rear spoiler and front splitter,,Spoiler,opt_5w8_001,TVS,opt_5w8_001<->opt_tvs_001,false,false,(unknown) -> Spoiler,unclear_needs_research,low,Missing production choice metadata for opt_5w8_001.,manual_research,Rule-only or structured option references need more context before assigning a concrete rule model.
legacy_rel_0049,rule_opt_5zw_001_excludes_opt_t0a_001,opt_5zw_001,,opt_t0a_001,Z51 Spoiler,,Spoiler,opt_5zw_001,T0A,opt_5zw_001<->opt_t0a_001,false,false,(unknown) -> Spoiler,unclear_needs_research,low,Missing production choice metadata for opt_5zw_001.,manual_research,Rule-only or structured option references need more context before assigning a concrete rule model.
legacy_rel_0059,rule_opt_bv4_001_excludes_opt_r8c_001,opt_bv4_001,Personalized Plaque,opt_r8c_001,Corvette Museum Delivery,Interior Trim,Custom Delivery,BV4,R8C,opt_bv4_001<->opt_r8c_001,false,false,Interior Trim -> Custom Delivery,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections Interior Trim -> Custom Delivery; selection modes multi_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0060,rule_opt_cf8_001_excludes_opt_dpb_001,opt_cf8_001,,opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DPB,opt_cf8_001<->opt_dpb_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0061,rule_opt_cf8_001_excludes_opt_dpc_001,opt_cf8_001,,opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DPC,opt_cf8_001<->opt_dpc_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0062,rule_opt_cf8_001_excludes_opt_dpg_001,opt_cf8_001,,opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DPG,opt_cf8_001<->opt_dpg_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0063,rule_opt_cf8_001_excludes_opt_dpl_001,opt_cf8_001,,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DPL,opt_cf8_001<->opt_dpl_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0064,rule_opt_cf8_001_excludes_opt_dpt_001,opt_cf8_001,,opt_dpt_001,Carbon Flash with Silver accent Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DPT,opt_cf8_001<->opt_dpt_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0065,rule_opt_cf8_001_excludes_opt_dsy_001,opt_cf8_001,,opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DSY,opt_cf8_001<->opt_dsy_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0066,rule_opt_cf8_001_excludes_opt_dsz_001,opt_cf8_001,,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DSZ,opt_cf8_001<->opt_dsz_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0067,rule_opt_cf8_001_excludes_opt_dt0_001,opt_cf8_001,,opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DT0,opt_cf8_001<->opt_dt0_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0068,rule_opt_cf8_001_excludes_opt_dth_001,opt_cf8_001,,opt_dth_001,Carbon Flash Metallic Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DTH,opt_cf8_001<->opt_dth_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0069,rule_opt_cf8_001_excludes_opt_dub_001,opt_cf8_001,,opt_dub_001,Sterling Silver Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DUB,opt_cf8_001<->opt_dub_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0070,rule_opt_cf8_001_excludes_opt_due_001,opt_cf8_001,,opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DUE,opt_cf8_001<->opt_due_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0071,rule_opt_cf8_001_excludes_opt_duk_001,opt_cf8_001,,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DUK,opt_cf8_001<->opt_duk_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0072,rule_opt_cf8_001_excludes_opt_duw_001,opt_cf8_001,,opt_duw_001,Edge Blue Full Length Dual Racing Stripes,,Stripes,opt_cf8_001,DUW,opt_cf8_001<->opt_duw_001,false,false,(unknown) -> Stripes,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: unknown -> Stripes; status unknown -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0073,rule_opt_d84_001_excludes_opt_gba_001,opt_d84_001,Convertible top,opt_gba_001,Black,Roof,Paint,D84,GBA,opt_d84_001<->opt_gba_001,false,false,Roof -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Roof -> Paint; status unavailable -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0074,rule_opt_d86_001_excludes_opt_gba_001,opt_d86_001,Convertible top,opt_gba_001,Black,Roof,Paint,D86,GBA,opt_d86_001<->opt_gba_001,false,false,Roof -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Roof -> Paint; status unavailable -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0075,rule_opt_dpb_001_excludes_opt_gtr_001,opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,opt_gtr_001,NEW! Admiral Blue Metallic,Stripes,Paint,DPB,GTR,opt_dpb_001<->opt_gtr_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0076,rule_opt_dpc_001_excludes_opt_gbk_001,opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,opt_gbk_001,Competition Yellow Tintcoat Metallic,Stripes,Paint,DPC,GBK,opt_dpc_001<->opt_gbk_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0077,rule_opt_dpg_001_excludes_opt_g26_001,opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,opt_g26_001,Sebring Orange Tintcoat,Stripes,Paint,DPG,G26,opt_dpg_001<->opt_g26_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0078,rule_opt_dpl_001_excludes_opt_gkz_001,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,opt_gkz_001,Torch Red,Stripes,Paint,DPL,GKZ,opt_dpl_001<->opt_gkz_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0079,rule_opt_dpl_001_excludes_opt_gph_001,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,opt_gph_001,Red Mist Metallic Tintcoat,Stripes,Paint,DPL,GPH,opt_dpl_001<->opt_gph_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0080,rule_opt_dsy_001_excludes_opt_g26_001,opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,opt_g26_001,Sebring Orange Tintcoat,Stripes,Paint,DSY,G26,opt_dsy_001<->opt_g26_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0081,rule_opt_dsz_001_excludes_opt_gkz_001,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,opt_gkz_001,Torch Red,Stripes,Paint,DSZ,GKZ,opt_dsz_001<->opt_gkz_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0082,rule_opt_dsz_001_excludes_opt_gph_001,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,opt_gph_001,Red Mist Metallic Tintcoat,Stripes,Paint,DSZ,GPH,opt_dsz_001<->opt_gph_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0083,rule_opt_dt0_001_excludes_opt_gbk_001,opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,opt_gbk_001,Competition Yellow Tintcoat Metallic,Stripes,Paint,DT0,GBK,opt_dt0_001<->opt_gbk_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0084,rule_opt_due_001_excludes_opt_gtr_001,opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,opt_gtr_001,NEW! Admiral Blue Metallic,Stripes,Paint,DUE,GTR,opt_due_001<->opt_gtr_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0085,rule_opt_duk_001_excludes_opt_gkz_001,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,opt_gkz_001,Torch Red,Stripes,Paint,DUK,GKZ,opt_duk_001<->opt_gkz_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0086,rule_opt_duk_001_excludes_opt_gph_001,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,opt_gph_001,Red Mist Metallic Tintcoat,Stripes,Paint,DUK,GPH,opt_duk_001<->opt_gph_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0087,rule_opt_duw_001_excludes_opt_gtr_001,opt_duw_001,Edge Blue Full Length Dual Racing Stripes,opt_gtr_001,NEW! Admiral Blue Metallic,Stripes,Paint,DUW,GTR,opt_duw_001<->opt_gtr_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0088,rule_opt_dzu_001_excludes_opt_gbk_001,opt_dzu_001,Carbon Flash/Competition Yellow Stinger Stripe,opt_gbk_001,Competition Yellow Tintcoat Metallic,Stripes,Paint,DZU,GBK,opt_dzu_001<->opt_gbk_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0089,rule_opt_dzx_001_excludes_opt_gkz_001,opt_dzx_001,Carbon Flash/Edge Red Stinger Stripe,opt_gkz_001,Torch Red,Stripes,Paint,DZX,GKZ,opt_dzx_001<->opt_gkz_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0090,rule_opt_dzx_001_excludes_opt_gph_001,opt_dzx_001,Carbon Flash/Edge Red Stinger Stripe,opt_gph_001,Red Mist Metallic Tintcoat,Stripes,Paint,DZX,GPH,opt_dzx_001<->opt_gph_001,false,false,Stripes -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Stripes -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0092,rule_opt_efy_001_excludes_opt_gba_001,opt_efy_001,Body-color accents,opt_gba_001,Black,Exterior Accents,Paint,EFY,GBA,opt_efy_001<->opt_gba_001,false,false,Exterior Accents -> Paint,availability_or_variant_behavior,medium,Availability-style signal from sections/status/detail: Exterior Accents -> Paint; status available -> available.,model_as_availability_rule,Likely availability or variant constraint; direct migration design not decided here.
legacy_rel_0097,rule_opt_pcu_001_excludes_opt_5v7_001,opt_pcu_001,"LPO, Stingray Protection Package",opt_5v7_001,"LPO, Black Ground Effects",LPO Exterior,LPO Exterior,PCU,5V7,opt_5v7_001<->opt_pcu_001,false,true,LPO Exterior -> LPO Exterior,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Exterior -> LPO Exterior; selection modes multi_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0098,rule_opt_pcu_001_excludes_opt_5vm_001,opt_pcu_001,"LPO, Stingray Protection Package",opt_5vm_001,,LPO Exterior,,PCU,opt_5vm_001,opt_5vm_001<->opt_pcu_001,false,false,LPO Exterior -> (unknown),unclear_needs_research,low,Missing production choice metadata for opt_5vm_001.,manual_research,Rule-only or structured option references need more context before assigning a concrete rule model.
legacy_rel_0099,rule_opt_pcu_001_excludes_opt_5w8_001,opt_pcu_001,"LPO, Stingray Protection Package",opt_5w8_001,,LPO Exterior,,PCU,opt_5w8_001,opt_5w8_001<->opt_pcu_001,false,false,LPO Exterior -> (unknown),unclear_needs_research,low,Missing production choice metadata for opt_5w8_001.,manual_research,Rule-only or structured option references need more context before assigning a concrete rule model.
legacy_rel_0103,rule_opt_pcx_001_excludes_opt_dpb_001,opt_pcx_001,"LPO, Tech Bronze Accent Package",opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,LPO Exterior,Stripes,PCX,DPB,opt_dpb_001<->opt_pcx_001,false,false,LPO Exterior -> Stripes,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Exterior -> Stripes; selection modes multi_select_opt -> single_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
