relationship_key,legacy_surface,legacy_index,legacy_id,relationship_type,source_id,target_id,group_id,source_label,target_label,legacy_detail,coverage_status,coverage_confidence,covering_file,covering_row_id,coverage_note
legacy_rel_0011,rules,10,rule_3lt_ah2_huf_n26_includes_opt_3n9_001,includes,3LT_AH2_HUF_N26,opt_3n9_001,,3LT > AH2 GT2 Bucket Seats > Natural Dipped > Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel. > Natural Dipped Suede,Natural Seat belt color,Included with 3LT_AH2_HUF_N26 Natural Dipped Suede.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0012,rules,11,rule_3lt_ah2_huw_includes_opt_379_001,includes,3LT_AH2_HUW,opt_379_001,,3LT > AH2 GT2 Bucket Seats > Habanero > Napa leather seating surfaces with perforated inserts. > Habanero,Orange Seat belt color,Included with 3LT_AH2_HUW Habanero.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0013,rules,12,rule_3lt_ah2_hux_n26_includes_opt_379_001,includes,3LT_AH2_HUX_N26,opt_379_001,,3LT > AH2 GT2 Bucket Seats > Habanero > Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel. > Habanero Suede,Orange Seat belt color,Included with 3LT_AH2_HUX_N26 Habanero Suede.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0014,rules,13,rule_3lt_ah2_hzn_includes_opt_3n9_001,includes,3LT_AH2_HZN,opt_3n9_001,,3LT > AH2 GT2 Bucket Seats > Natural Dipped > Napa leather seating surfaces with perforated inserts. > Natural Dipped,Natural Seat belt color,Included with 3LT_AH2_HZN Natural Dipped.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0015,rules,14,rule_3lt_aup_hag_includes_opt_3a9_001,includes,3LT_AUP_HAG,opt_3a9_001,,3LT > AUP Assymetrical seats > Asymmetrical Santorini Blue / Jet Black,Santorini Blue Seat belt color,Included with 3LT_AUP_HAG Asymmetrical Santorini Blue / Jet Black.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0016,rules,15,rule_opt_5dg_001_excludes_opt_r8c_001,excludes,opt_5dg_001,opt_r8c_001,,"LPO, 20-spoke Tech Bronze aluminum wheels",Corvette Museum Delivery,"Blocked by 5DG LPO, 20-spoke Tech Bronze aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0017,rules,16,rule_opt_5dg_001_excludes_opt_s47_001,excludes,opt_5dg_001,opt_s47_001,,"LPO, 20-spoke Tech Bronze aluminum wheels","LPO, Chrome lug nuts","Blocked by 5DG LPO, 20-spoke Tech Bronze aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0018,rules,17,rule_opt_5dg_001_excludes_opt_sfe_001,excludes,opt_5dg_001,opt_sfe_001,,"LPO, 20-spoke Tech Bronze aluminum wheels","LPO, Chrome wheel locks","Blocked by 5DG LPO, 20-spoke Tech Bronze aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0019,rules,18,rule_opt_5dg_001_excludes_opt_spy_001,excludes,opt_5dg_001,opt_spy_001,,"LPO, 20-spoke Tech Bronze aluminum wheels","LPO, Black lug nuts","Blocked by 5DG LPO, 20-spoke Tech Bronze aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0020,rules,19,rule_opt_5dg_001_excludes_opt_spz_001,excludes,opt_5dg_001,opt_spz_001,,"LPO, 20-spoke Tech Bronze aluminum wheels","LPO, Black wheel locks","Blocked by 5DG LPO, 20-spoke Tech Bronze aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0021,rules,20,rule_opt_5do_001_excludes_opt_r8c_001,excludes,opt_5do_001,opt_r8c_001,,"LPO, 15-spoke bright polished aluminum wheels",Corvette Museum Delivery,"Blocked by 5DO LPO, 15-spoke bright polished aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0022,rules,21,rule_opt_5do_001_excludes_opt_s47_001,excludes,opt_5do_001,opt_s47_001,,"LPO, 15-spoke bright polished aluminum wheels","LPO, Chrome lug nuts","Blocked by 5DO LPO, 15-spoke bright polished aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0023,rules,22,rule_opt_5do_001_excludes_opt_sfe_001,excludes,opt_5do_001,opt_sfe_001,,"LPO, 15-spoke bright polished aluminum wheels","LPO, Chrome wheel locks","Blocked by 5DO LPO, 15-spoke bright polished aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0024,rules,23,rule_opt_5do_001_excludes_opt_spy_001,excludes,opt_5do_001,opt_spy_001,,"LPO, 15-spoke bright polished aluminum wheels","LPO, Black lug nuts","Blocked by 5DO LPO, 15-spoke bright polished aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0025,rules,24,rule_opt_5do_001_excludes_opt_spz_001,excludes,opt_5do_001,opt_spz_001,,"LPO, 15-spoke bright polished aluminum wheels","LPO, Black wheel locks","Blocked by 5DO LPO, 15-spoke bright polished aluminum wheels.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0026,rules,25,rule_opt_5jr_001_includes_opt_drg_001,includes,opt_5jr_001,opt_drg_001,,"LPO, Outside mirror covers in visible Carbon Fiber",Carbon Flash painted mirrors,"Included with 5JR LPO, Outside mirror covers in visible Carbon Fiber.",not_found_in_csv,none,,,No direct selectable source/target auto-add row found.
legacy_rel_0027,rules,26,rule_opt_5v7_001_excludes_opt_5vm_001,excludes,opt_5v7_001,opt_5vm_001,,"LPO, Black Ground Effects",,"Blocked by 5V7 LPO, Black Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0028,rules,27,rule_opt_5v7_001_excludes_opt_5w8_001,excludes,opt_5v7_001,opt_5w8_001,,"LPO, Black Ground Effects",,"Blocked by 5V7 LPO, Black Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0029,rules,28,rule_opt_5v7_001_excludes_opt_sti_001,excludes,opt_5v7_001,opt_sti_001,,"LPO, Black Ground Effects","LPO, Composite rocker extensions","Blocked by 5V7 LPO, Black Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0030,rules,29,rule_opt_5v7_001_excludes_opt_tvs_001,excludes,opt_5v7_001,opt_tvs_001,,"LPO, Black Ground Effects",Low-profile rear spoiler and front splitter,"Blocked by 5V7 LPO, Black Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0031,rules,30,rule_opt_5v7_001_excludes_opt_z51_001,excludes,opt_5v7_001,opt_z51_001,,"LPO, Black Ground Effects",Z51 Performance Package,"Blocked by 5V7 LPO, Black Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0032,rules,31,rule_opt_5vm_001_excludes_opt_5v7_001,excludes,opt_5vm_001,opt_5v7_001,,,"LPO, Black Ground Effects","Blocked by 5VM LPO, Visible Carbon Fiber Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0033,rules,32,rule_opt_5vm_001_excludes_opt_5w8_001,excludes,opt_5vm_001,opt_5w8_001,,,,"Blocked by 5VM LPO, Visible Carbon Fiber Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0034,rules,33,rule_opt_5vm_001_excludes_opt_sti_001,excludes,opt_5vm_001,opt_sti_001,,,"LPO, Composite rocker extensions","Blocked by 5VM LPO, Visible Carbon Fiber Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0035,rules,34,rule_opt_5vm_001_excludes_opt_tvs_001,excludes,opt_5vm_001,opt_tvs_001,,,Low-profile rear spoiler and front splitter,"Blocked by 5VM LPO, Visible Carbon Fiber Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0036,rules,35,rule_opt_5vm_001_requires_opt_5zu_001,requires,opt_5vm_001,opt_5zu_001,,,"LPO, High wing spoiler, Body color","Requires 5ZU LPO, High wing spoiler, Body color.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0037,rules,36,rule_opt_5vm_001_requires_opt_5zw_001,requires,opt_5vm_001,opt_5zw_001,,,,"Requires 5ZW LPO, Two-Stanchion spoiler.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0038,rules,37,rule_opt_5vm_001_requires_opt_5zz_001,requires,opt_5vm_001,opt_5zz_001,,,"LPO, High wing spoiler","Requires 5ZZ LPO, High wing spoiler.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0039,rules,38,rule_opt_5vm_001_requires_opt_z51_001,requires,opt_5vm_001,opt_z51_001,,,Z51 Performance Package,Requires Z51 Z51 Performance Package.,not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0040,rules,39,rule_opt_5w8_001_excludes_opt_5v7_001,excludes,opt_5w8_001,opt_5v7_001,,,"LPO, Black Ground Effects","Blocked by 5W8 LPO, Carbon Fiber Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0041,rules,40,rule_opt_5w8_001_excludes_opt_5vm_001,excludes,opt_5w8_001,opt_5vm_001,,,,"Blocked by 5W8 LPO, Carbon Fiber Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0042,rules,41,rule_opt_5w8_001_excludes_opt_sti_001,excludes,opt_5w8_001,opt_sti_001,,,"LPO, Composite rocker extensions","Blocked by 5W8 LPO, Carbon Fiber Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0043,rules,42,rule_opt_5w8_001_excludes_opt_tvs_001,excludes,opt_5w8_001,opt_tvs_001,,,Low-profile rear spoiler and front splitter,"Blocked by 5W8 LPO, Carbon Fiber Ground Effects.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0044,rules,43,rule_opt_5w8_001_requires_opt_5zu_001,requires,opt_5w8_001,opt_5zu_001,,,"LPO, High wing spoiler, Body color","Requires 5ZU LPO, High wing spoiler, Body color.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0045,rules,44,rule_opt_5w8_001_requires_opt_5zw_001,requires,opt_5w8_001,opt_5zw_001,,,,"Requires 5ZW LPO, Two-Stanchion spoiler.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0046,rules,45,rule_opt_5w8_001_requires_opt_5zz_001,requires,opt_5w8_001,opt_5zz_001,,,"LPO, High wing spoiler","Requires 5ZZ LPO, High wing spoiler.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0047,rules,46,rule_opt_5w8_001_requires_opt_z51_001,requires,opt_5w8_001,opt_z51_001,,,Z51 Performance Package,Requires Z51 Z51 Performance Package.,not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0048,rules,47,rule_opt_5zu_001_excludes_opt_t0a_001,excludes,opt_5zu_001,opt_t0a_001,,"LPO, High wing spoiler, Body color",Z51 Spoiler,Removes T0A when Z51 is selected.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0049,rules,48,rule_opt_5zw_001_excludes_opt_t0a_001,excludes,opt_5zw_001,opt_t0a_001,,,Z51 Spoiler,"Blocked by 5ZW LPO, Two-Stanchion spoiler.",needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0050,rules,49,rule_opt_5zz_001_excludes_opt_t0a_001,excludes,opt_5zz_001,opt_t0a_001,,"LPO, High wing spoiler",Z51 Spoiler,Removes T0A when Z51 is selected.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0051,rules,50,rule_opt_b6p_001_includes_opt_d3v_001,includes,opt_b6p_001,opt_d3v_001,,Coupe Engine Appearance Package,Engine lighting,Included with B6P Coupe Engine Appearance Package.,covered_in_csv,exact,data/stingray/logic/auto_adds.csv,aa_b6p_d3v,Direct selectable source/target auto-add match.
legacy_rel_0052,rules,51,rule_opt_b6p_001_includes_opt_sl9_001,includes,opt_b6p_001,opt_sl9_001,,Coupe Engine Appearance Package,"LPO, Engine specification plaque",Included with B6P Coupe Engine Appearance Package.,covered_in_csv,exact,data/stingray/logic/auto_adds.csv,aa_b6p_sl9,Direct selectable source/target auto-add match.
legacy_rel_0053,rules,52,rule_opt_bc4_001_includes_opt_d3v_001,includes,opt_bc4_001,opt_d3v_001,,NEW! Blue LS6 engine cover,Engine lighting,Included with BC4 NEW! Blue LS6 engine cover.,not_found_in_csv,inferred,,,Set-based auto-add context row data/stingray/logic/auto_adds.csv:aa_cover_d3v likely covers related behavior but is not a direct legacy source/target match.
legacy_rel_0054,rules,53,rule_opt_bc4_002_requires_opt_zz3_001,requires,opt_bc4_001,opt_zz3_001,,NEW! Blue LS6 engine cover,Convertible Engine Appearance Package,Requires ZZ3 Convertible Engine Appearance Package.,needs_schema_mapping,schema_gap,,,"Set-based dependency context row data/stingray/logic/dependency_rules.csv:dep_colored_cover_requires_zz3_convertible likely relates to this row, but the CSV target is condition-set based and not a direct source/target match."
legacy_rel_0055,rules,54,rule_opt_bcp_001_includes_opt_d3v_001,includes,opt_bcp_001,opt_d3v_001,,Edge Red LS6 engine cover,Engine lighting,Included with BCP Edge Red LS6 engine cover.,not_found_in_csv,inferred,,,Set-based auto-add context row data/stingray/logic/auto_adds.csv:aa_cover_d3v likely covers related behavior but is not a direct legacy source/target match.
legacy_rel_0056,rules,55,rule_opt_bcp_002_requires_opt_zz3_001,requires,opt_bcp_001,opt_zz3_001,,Edge Red LS6 engine cover,Convertible Engine Appearance Package,Requires ZZ3 Convertible Engine Appearance Package.,needs_schema_mapping,schema_gap,,,"Set-based dependency context row data/stingray/logic/dependency_rules.csv:dep_colored_cover_requires_zz3_convertible likely relates to this row, but the CSV target is condition-set based and not a direct source/target match."
legacy_rel_0057,rules,56,rule_opt_bcs_001_includes_opt_d3v_001,includes,opt_bcs_001,opt_d3v_001,,Sterling Silver LS6 engine cover,Engine lighting,Included with BCS Sterling Silver LS6 engine cover.,not_found_in_csv,inferred,,,Set-based auto-add context row data/stingray/logic/auto_adds.csv:aa_cover_d3v likely covers related behavior but is not a direct legacy source/target match.
legacy_rel_0058,rules,57,rule_opt_bcs_002_requires_opt_zz3_001,requires,opt_bcs_001,opt_zz3_001,,Sterling Silver LS6 engine cover,Convertible Engine Appearance Package,Requires ZZ3 Convertible Engine Appearance Package.,needs_schema_mapping,schema_gap,,,"Set-based dependency context row data/stingray/logic/dependency_rules.csv:dep_colored_cover_requires_zz3_convertible likely relates to this row, but the CSV target is condition-set based and not a direct source/target match."
legacy_rel_0059,rules,58,rule_opt_bv4_001_excludes_opt_r8c_001,excludes,opt_bv4_001,opt_r8c_001,,Personalized Plaque,Corvette Museum Delivery,Blocked by BV4 Personalized Plaque.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0060,rules,59,rule_opt_cf8_001_excludes_opt_dpb_001,excludes,opt_cf8_001,opt_dpb_001,,,Carbon Flash with Blue accent Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0061,rules,60,rule_opt_cf8_001_excludes_opt_dpc_001,excludes,opt_cf8_001,opt_dpc_001,,,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0062,rules,61,rule_opt_cf8_001_excludes_opt_dpg_001,excludes,opt_cf8_001,opt_dpg_001,,,Carbon Flash with Orange accent Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0063,rules,62,rule_opt_cf8_001_excludes_opt_dpl_001,excludes,opt_cf8_001,opt_dpl_001,,,Carbon Flash with Red accent Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0064,rules,63,rule_opt_cf8_001_excludes_opt_dpt_001,excludes,opt_cf8_001,opt_dpt_001,,,Carbon Flash with Silver accent Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0065,rules,64,rule_opt_cf8_001_excludes_opt_dsy_001,excludes,opt_cf8_001,opt_dsy_001,,,Edge Orange Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0066,rules,65,rule_opt_cf8_001_excludes_opt_dsz_001,excludes,opt_cf8_001,opt_dsz_001,,,Edge Red Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0067,rules,66,rule_opt_cf8_001_excludes_opt_dt0_001,excludes,opt_cf8_001,opt_dt0_001,,,Competition Yellow Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0068,rules,67,rule_opt_cf8_001_excludes_opt_dth_001,excludes,opt_cf8_001,opt_dth_001,,,Carbon Flash Metallic Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0069,rules,68,rule_opt_cf8_001_excludes_opt_dub_001,excludes,opt_cf8_001,opt_dub_001,,,Sterling Silver Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0070,rules,69,rule_opt_cf8_001_excludes_opt_due_001,excludes,opt_cf8_001,opt_due_001,,,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0071,rules,70,rule_opt_cf8_001_excludes_opt_duk_001,excludes,opt_cf8_001,opt_duk_001,,,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0072,rules,71,rule_opt_cf8_001_excludes_opt_duw_001,excludes,opt_cf8_001,opt_duw_001,,,Edge Blue Full Length Dual Racing Stripes,Blocked by CF8 Roof panel.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0073,rules,72,rule_opt_d84_001_excludes_opt_gba_001,excludes,opt_d84_001,opt_gba_001,,Convertible top,Black,Blocked by D84 Convertible top.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
legacy_rel_0074,rules,73,rule_opt_d86_001_excludes_opt_gba_001,excludes,opt_d86_001,opt_gba_001,,Convertible top,Black,Blocked by D86 Convertible top.,needs_schema_mapping,schema_gap,,,"Current requested CSV inputs do not include a direct pairwise excludes relationship file; exclusive groups cover group membership, not pairwise legacy excludes."
