source_sheet,source_row,guide_family,model_key,model_key_confidence,section_family,orderable_rpo,ref_rpo,description,variant_id,body_code,body_style,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Standard Equipment 1,5,corvette,stingray,high,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,stingray,high,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,6,corvette,stingray,high,standard_equipment,,,Air filtration system with pollen filter,stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,stingray,high,standard_equipment,,,Air filtration system with pollen filter,stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,stingray,high,standard_equipment,,,Air filtration system with pollen filter,stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,stingray,high,standard_equipment,,,Air filtration system with pollen filter,stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,stingray,high,standard_equipment,,,Air filtration system with pollen filter,stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,stingray,high,standard_equipment,,,Air filtration system with pollen filter,stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,7,corvette,stingray,high,standard_equipment,,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones"
Standard Equipment 1,7,corvette,stingray,high,standard_equipment,,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones"
Standard Equipment 1,7,corvette,stingray,high,standard_equipment,,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones"
Standard Equipment 1,7,corvette,stingray,high,standard_equipment,,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones"
Standard Equipment 1,7,corvette,stingray,high,standard_equipment,,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones"
Standard Equipment 1,7,corvette,stingray,high,standard_equipment,,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones"
Standard Equipment 1,8,corvette,stingray,high,standard_equipment,,UQS,"Audio system feature, Bose Premium 10-speaker system",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Audio system feature, Bose Premium 10-speaker system"
Standard Equipment 1,8,corvette,stingray,high,standard_equipment,,UQS,"Audio system feature, Bose Premium 10-speaker system",stingray_2lt_c07,1YC07,coupe,2LT,--,--,,not_available,"Audio system feature, Bose Premium 10-speaker system"
Standard Equipment 1,8,corvette,stingray,high,standard_equipment,,UQS,"Audio system feature, Bose Premium 10-speaker system",stingray_3lt_c07,1YC07,coupe,3LT,--,--,,not_available,"Audio system feature, Bose Premium 10-speaker system"
Standard Equipment 1,8,corvette,stingray,high,standard_equipment,,UQS,"Audio system feature, Bose Premium 10-speaker system",stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Audio system feature, Bose Premium 10-speaker system"
Standard Equipment 1,8,corvette,stingray,high,standard_equipment,,UQS,"Audio system feature, Bose Premium 10-speaker system",stingray_2lt_c67,1YC67,convertible,2LT,--,--,,not_available,"Audio system feature, Bose Premium 10-speaker system"
Standard Equipment 1,8,corvette,stingray,high,standard_equipment,,UQS,"Audio system feature, Bose Premium 10-speaker system",stingray_3lt_c67,1YC67,convertible,3LT,--,--,,not_available,"Audio system feature, Bose Premium 10-speaker system"
Standard Equipment 1,9,corvette,stingray,high,standard_equipment,,U2K,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change.",stingray_1lt_c07,1YC07,coupe,1LT,S1,S,1,standard,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change."
Standard Equipment 1,9,corvette,stingray,high,standard_equipment,,U2K,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change.",stingray_2lt_c07,1YC07,coupe,2LT,S1,S,1,standard,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change."
Standard Equipment 1,9,corvette,stingray,high,standard_equipment,,U2K,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change.",stingray_3lt_c07,1YC07,coupe,3LT,S1,S,1,standard,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change."
Standard Equipment 1,9,corvette,stingray,high,standard_equipment,,U2K,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change.",stingray_1lt_c67,1YC67,convertible,1LT,S1,S,1,standard,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change."
Standard Equipment 1,9,corvette,stingray,high,standard_equipment,,U2K,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change.",stingray_2lt_c67,1YC67,convertible,2LT,S1,S,1,standard,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change."
Standard Equipment 1,9,corvette,stingray,high,standard_equipment,,U2K,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change.",stingray_3lt_c67,1YC67,convertible,3LT,S1,S,1,standard,"SiriusXM with 360L Trial Subscription. SiriusXM with 360L transforms your customers' ride with our most extensive and personalized radio experience on the road.
1. IMPORTANT: The SiriusXM trial subscription is not provided on vehicles that are ordered for Fleet Daily Rental (""FDR"") use. Trial subscription is subject to the SiriusXM Customer Agreement and privacy policy, visit siriusxm.com which includes full terms and how to cancel. All fees, content, features, and availability are subject to change."
Standard Equipment 1,10,corvette,stingray,high,standard_equipment,,U80,"Compass, digital",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Compass, digital"
Standard Equipment 1,10,corvette,stingray,high,standard_equipment,,U80,"Compass, digital",stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Compass, digital"
Standard Equipment 1,10,corvette,stingray,high,standard_equipment,,U80,"Compass, digital",stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Compass, digital"
Standard Equipment 1,10,corvette,stingray,high,standard_equipment,,U80,"Compass, digital",stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Compass, digital"
Standard Equipment 1,10,corvette,stingray,high,standard_equipment,,U80,"Compass, digital",stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,"Compass, digital"
Standard Equipment 1,10,corvette,stingray,high,standard_equipment,,U80,"Compass, digital",stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,"Compass, digital"
Standard Equipment 1,11,corvette,stingray,high,standard_equipment,,,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage"
Standard Equipment 1,11,corvette,stingray,high,standard_equipment,,,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage"
Standard Equipment 1,11,corvette,stingray,high,standard_equipment,,,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage"
Standard Equipment 1,11,corvette,stingray,high,standard_equipment,,,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage"
Standard Equipment 1,11,corvette,stingray,high,standard_equipment,,,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage"
Standard Equipment 1,11,corvette,stingray,high,standard_equipment,,,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage"
Standard Equipment 1,12,corvette,stingray,high,standard_equipment,,,"Cruise control, electronic with set and resume speed",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Cruise control, electronic with set and resume speed"
Standard Equipment 1,12,corvette,stingray,high,standard_equipment,,,"Cruise control, electronic with set and resume speed",stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Cruise control, electronic with set and resume speed"
Standard Equipment 1,12,corvette,stingray,high,standard_equipment,,,"Cruise control, electronic with set and resume speed",stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Cruise control, electronic with set and resume speed"
Standard Equipment 1,12,corvette,stingray,high,standard_equipment,,,"Cruise control, electronic with set and resume speed",stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Cruise control, electronic with set and resume speed"
Standard Equipment 1,12,corvette,stingray,high,standard_equipment,,,"Cruise control, electronic with set and resume speed",stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,"Cruise control, electronic with set and resume speed"
Standard Equipment 1,12,corvette,stingray,high,standard_equipment,,,"Cruise control, electronic with set and resume speed",stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,"Cruise control, electronic with set and resume speed"
Standard Equipment 1,13,corvette,stingray,high,standard_equipment,,,"Door locks, power programmable with lockout protection",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Door locks, power programmable with lockout protection"
Standard Equipment 1,13,corvette,stingray,high,standard_equipment,,,"Door locks, power programmable with lockout protection",stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Door locks, power programmable with lockout protection"
Standard Equipment 1,13,corvette,stingray,high,standard_equipment,,,"Door locks, power programmable with lockout protection",stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Door locks, power programmable with lockout protection"
Standard Equipment 1,13,corvette,stingray,high,standard_equipment,,,"Door locks, power programmable with lockout protection",stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Door locks, power programmable with lockout protection"
Standard Equipment 1,13,corvette,stingray,high,standard_equipment,,,"Door locks, power programmable with lockout protection",stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,"Door locks, power programmable with lockout protection"
Standard Equipment 1,13,corvette,stingray,high,standard_equipment,,,"Door locks, power programmable with lockout protection",stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,"Door locks, power programmable with lockout protection"
Standard Equipment 1,14,corvette,stingray,high,standard_equipment,,,"Floor mats, carpeted",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Floor mats, carpeted"
Standard Equipment 1,14,corvette,stingray,high,standard_equipment,,,"Floor mats, carpeted",stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Floor mats, carpeted"
Standard Equipment 1,14,corvette,stingray,high,standard_equipment,,,"Floor mats, carpeted",stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Floor mats, carpeted"
Standard Equipment 1,14,corvette,stingray,high,standard_equipment,,,"Floor mats, carpeted",stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Floor mats, carpeted"
Standard Equipment 1,14,corvette,stingray,high,standard_equipment,,,"Floor mats, carpeted",stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,"Floor mats, carpeted"
Standard Equipment 1,14,corvette,stingray,high,standard_equipment,,,"Floor mats, carpeted",stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,"Floor mats, carpeted"
Standard Equipment 1,15,corvette,stingray,high,standard_equipment,,UEU,Forward Collision Alert,stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,Forward Collision Alert
Standard Equipment 1,15,corvette,stingray,high,standard_equipment,,UEU,Forward Collision Alert,stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,Forward Collision Alert
Standard Equipment 1,15,corvette,stingray,high,standard_equipment,,UEU,Forward Collision Alert,stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,Forward Collision Alert
Standard Equipment 1,15,corvette,stingray,high,standard_equipment,,UEU,Forward Collision Alert,stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,Forward Collision Alert
Standard Equipment 1,15,corvette,stingray,high,standard_equipment,,UEU,Forward Collision Alert,stingray_2lt_c67,1YC67,convertible,2LT,S,S,,standard,Forward Collision Alert
Standard Equipment 1,15,corvette,stingray,high,standard_equipment,,UEU,Forward Collision Alert,stingray_3lt_c67,1YC67,convertible,3LT,S,S,,standard,Forward Collision Alert
Standard Equipment 1,16,corvette,stingray,high,standard_equipment,,,"Hatch release, push button open",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Hatch release, push button open"
Standard Equipment 1,16,corvette,stingray,high,standard_equipment,,,"Hatch release, push button open",stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Hatch release, push button open"
Standard Equipment 1,16,corvette,stingray,high,standard_equipment,,,"Hatch release, push button open",stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Hatch release, push button open"
Standard Equipment 1,16,corvette,stingray,high,standard_equipment,,,"Hatch release, push button open",stingray_1lt_c67,1YC67,convertible,1LT,--,--,,not_available,"Hatch release, push button open"
Standard Equipment 1,16,corvette,stingray,high,standard_equipment,,,"Hatch release, push button open",stingray_2lt_c67,1YC67,convertible,2LT,--,--,,not_available,"Hatch release, push button open"
Standard Equipment 1,16,corvette,stingray,high,standard_equipment,,,"Hatch release, push button open",stingray_3lt_c67,1YC67,convertible,3LT,--,--,,not_available,"Hatch release, push button open"
Standard Equipment 1,17,corvette,stingray,high,standard_equipment,,UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",stingray_1lt_c07,1YC07,coupe,1LT,--,--,,not_available,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit"
Standard Equipment 1,17,corvette,stingray,high,standard_equipment,,UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",stingray_2lt_c07,1YC07,coupe,2LT,■,■,,included_equipment_group,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit"
Standard Equipment 1,17,corvette,stingray,high,standard_equipment,,UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",stingray_3lt_c07,1YC07,coupe,3LT,■,■,,included_equipment_group,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit"
Standard Equipment 1,17,corvette,stingray,high,standard_equipment,,UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",stingray_1lt_c67,1YC67,convertible,1LT,--,--,,not_available,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit"
Standard Equipment 1,17,corvette,stingray,high,standard_equipment,,UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",stingray_2lt_c67,1YC67,convertible,2LT,■,■,,included_equipment_group,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit"
