source_sheet,source_row,guide_family,model_key,model_key_confidence,price_block_label,raw_values,notes
Price Schedule,34,corvette,zr1,high,raw_price_schedule_row,"["""",""1YR67"",""Corvette ZR1 Convertible 1LZ"",""204700"",""0"",""204700"",""191189.8"",""185048.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,35,corvette,zr1,high,raw_price_schedule_row,"["""",""1YR07"",""Corvette ZR1 Coupe 3LZ"",""205700"",""0"",""205700"",""192123.8"",""185952.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,36,corvette,zr1,high,raw_price_schedule_row,"["""",""1YR67"",""Corvette ZR1 Convertible 3LZ"",""215700"",""0"",""215700"",""201463.8"",""194992.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,37,corvette,zr1x,high,raw_price_schedule_row,"["""",""1YS07"",""Corvette ZR1X Coupe 1LZ"",""224900"",""0"",""224900"",""210056.6"",""203309.6"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,38,corvette,zr1x,high,raw_price_schedule_row,"["""",""1YS67"",""Corvette ZR1X Convertible 1LZ"",""234900"",""0"",""234900"",""219396.6"",""212349.6"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,39,corvette,zr1x,high,raw_price_schedule_row,"["""",""1YS07"",""Corvette ZR1X Coupe 3LZ"",""235900"",""0"",""235900"",""220330.6"",""213253.6"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,40,corvette,zr1x,high,raw_price_schedule_row,"["""",""1YS67"",""Corvette ZR1X Convertible 3LZ"",""245900"",""0"",""245900"",""229670.6"",""222293.6"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,42,corvette,,,raw_price_schedule_row,"[""Additional Options"","""","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,43,corvette,,,raw_price_schedule_row,"["""",""Option Code"",""Description"",""List"",""Factory"",""MSRP(c)"",""Dealer"",""Dealer"",""Employee"","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,44,corvette,,,raw_price_schedule_row,"["""","""","""",""Price"",""D/H(b)"","""",""Invoice"",""Price(c)"",""Price(c)"","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,45,corvette,,,raw_price_schedule_row,"["""","""","""","""","""","""",""Price(a)"","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,46,corvette,,,raw_price_schedule_row,"["""",""Additional Options:"","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,47,corvette,,,raw_price_schedule_row,"["""",""BV4"",""Personalized Plaque w/Name and VIN"","""",""395"",""0"",""395"",""359.45"",""347.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,48,corvette,,,raw_price_schedule_row,"["""",""D30"",""Color Combination Override"","""",""1495"",""0"",""1495"",""1360.45"",""1315.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,49,corvette,,,raw_price_schedule_row,"["""",""E60"",""Front Lift Adjustable Height with Memory"",""2LT/LZ or 3LT/LZ"",""2995"",""0"",""2995"",""2725.45"",""2635.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,50,corvette,,,raw_price_schedule_row,"["""",""PBC"",""Customer Engine Build Program"",""LT6 and LT7 Engines only"",""9995"",""0"",""9995"",""9095.45"",""8795.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,51,corvette,,,raw_price_schedule_row,"["""",""PDB"",""Carbon Fiber Wheel and Brake Package"",""Z06 with ROY Carbon Fiber Wheel"",""16000"",""0"",""16000"",""14560"",""14080"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,52,corvette,,,raw_price_schedule_row,"["""",""PDB"",""Carbon Fiber Wheel and Brake Package"",""Z06 with ROZ Carbon Fiber Wheel"",""17000"",""0"",""17000"",""15470"",""14960"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,53,corvette,,,raw_price_schedule_row,"["""",""PDB"",""Carbon Fiber Wheel and Brake Package"",""Z06 with STZ Carbon Fiber Wheel"",""17500"",""0"",""17500"",""15925"",""15400"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,54,corvette,,,raw_price_schedule_row,"["""",""PDD"",""Z07 Carbon Flash Aero and Wheel Package"",""Z06 with ROY Carbon Fiber Wheel"",""25495"",""0"",""25495"",""23200.45"",""22435.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,55,corvette,,,raw_price_schedule_row,"["""",""PDD"",""Z07 Carbon Flash Aero and Wheel Package"",""Z06 with ROZ Carbon Fiber Wheel"",""26495"",""0"",""26495"",""24110.45"",""23315.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,56,corvette,,,raw_price_schedule_row,"["""",""PDD"",""Z07 Carbon Flash Aero and Wheel Package"",""Z06 with STZ Carbon Fiber Wheel"",""26995"",""0"",""26995"",""24565.45"",""23755.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,57,corvette,,,raw_price_schedule_row,"["""",""PDF"",""Z07 Visible Carbon Aero and Wheel Package"",""Z06 with ROY Carbon Fiber Wheel"",""26495"",""0"",""26495"",""24110.45"",""23315.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,58,corvette,,,raw_price_schedule_row,"["""",""PDF"",""Z07 Visible Carbon Aero and Wheel Package"",""Z06 with ROZ Carbon Fiber Wheel"",""27495"",""0"",""27495"",""25020.45"",""24195.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,59,corvette,,,raw_price_schedule_row,"["""",""PDF"",""Z07 Visible Carbon Aero and Wheel Package"",""Z06 with STZ Carbon Fiber Wheel"",""27995"",""0"",""27995"",""25475.45"",""24635.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,60,corvette,,,raw_price_schedule_row,"["""",""PIN"",""Customer Selectable VIN"","""",""5495"",""0"",""5495"",""5000.45"",""4835.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,61,corvette,,,raw_price_schedule_row,"["""",""R6X"",""Custom Interior Trim and Seat Combination Override"",""3LT/LZ Only"",""995"",""0"",""995"",""905.45"",""875.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,62,corvette,,,raw_price_schedule_row,"["""",""R8C"",""Corvette Museum Delivery"","""",""1695"",""0"",""1695"",""1542.45"",""1491.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,63,corvette,,,raw_price_schedule_row,"["""",""TVS"",""Low-profile rear spoiler and front splitter"",""Stingray"",""995"",""0"",""995"",""905.45"",""875.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,64,corvette,,,raw_price_schedule_row,"["""",""UQT"",""Performance Data Recorder"",""1LT/LZ"",""1495"",""0"",""1495"",""1360.45"",""1315.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,65,corvette,,,raw_price_schedule_row,"["""",""Battery:"","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,66,corvette,,,raw_price_schedule_row,"["""",""ERI"",""Battery Protection Package"","""",""100"",""0"",""100"",""91"",""88"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,67,corvette,,,raw_price_schedule_row,"["""",""Brakes:"","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,68,corvette,,,raw_price_schedule_row,"["""",""J57"",""Carbon Ceramic Brakes"",""Grand Sport w/FEB Z52 Sports Performance Package"",""6000"",""0"",""6000"",""5460"",""5280"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,69,corvette,,,raw_price_schedule_row,"["""",""J57"",""Carbon Ceramic Brakes"",""Included in Z07 and FEY Performance Package"",""9000"",""0"",""9000"",""8190"",""7920"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,70,corvette,,,raw_price_schedule_row,"["""",""J6B"",""Blue Painted Brake Calipers"","""",""795"",""0"",""795"",""723.45"",""699.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,71,corvette,,,raw_price_schedule_row,"["""",""J6E"",""Yellow Painted Brake Calipers"","""",""795"",""0"",""795"",""723.45"",""699.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,72,corvette,,,raw_price_schedule_row,"["""",""J6F"",""Bright Red Painted Brake Calipers"","""",""795"",""0"",""795"",""723.45"",""699.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,73,corvette,,,raw_price_schedule_row,"["""",""J6L"",""Orange Painted Brake Calipers"",""Requires J57"",""795"",""0"",""795"",""723.45"",""699.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,74,corvette,,,raw_price_schedule_row,"["""",""J6N"",""Edge Red Painted Brake Calipers"","""",""795"",""0"",""795"",""723.45"",""699.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,75,corvette,,,raw_price_schedule_row,"["""",""J6O"",""Bronze Painted Brake Calipers"",""ZR1/ZR1X Only"",""795"",""0"",""795"",""723.45"",""699.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,76,corvette,,,raw_price_schedule_row,"["""",""Convenience:"","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,77,corvette,,,raw_price_schedule_row,"["""",""PRB"",""3 Years Onstar One"","""",""800"",""0"",""800"",""728"",""704"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,78,corvette,,,raw_price_schedule_row,"["""",""R6P"",""3 Years, SIRIUSXM (Non-Transferable)"","""",""299"",""0"",""299"",""272.09"",""263.12"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,79,corvette,,,raw_price_schedule_row,"["""",""R9V"",""3 Years of Mobile Service Plus"","""",""599"",""0"",""599"",""545.09"",""527.12"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,80,corvette,,,raw_price_schedule_row,"["""",""R9Y"",""1 Year of Mobile Service Plus"","""",""199"",""0"",""199"",""181.09"",""175.12"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,81,corvette,,,raw_price_schedule_row,"["""",""Convertible Top:"","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,82,corvette,,,raw_price_schedule_row,"["""",""D84"",""Carbon Flash Painted Nacelles and Roof"",""Convertible Only"",""1295"",""0"",""1295"",""1178.45"",""1139.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,83,corvette,,,raw_price_schedule_row,"["""",""D86"",""Carbon Flash Painted Nacelles and Body-Color Roof"",""Convertible Only"",""1295"",""0"",""1295"",""1178.45"",""1139.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,84,corvette,,,raw_price_schedule_row,"["""",""Dealer Installed:"","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,85,corvette,,,raw_price_schedule_row,"["""",""5DG"",""20-spoke Tech Bronze forged aluminum wheels"",""Stingray"",""4395"",""0"",""4395"",""3999.45"",""3867.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,86,corvette,,,raw_price_schedule_row,"["""",""5DH"",""Spider design, Satin Graphite forged aluminum with Red stripe wheels"",""Z06"",""4450"",""0"",""4450"",""4049.5"",""3916"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,87,corvette,,,raw_price_schedule_row,"["""",""5DK"",""Spider design, Tech Bronze forged aluminum wheels"",""Z06"",""4450"",""0"",""4450"",""4049.5"",""3916"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,88,corvette,,,raw_price_schedule_row,"["""",""5DO"",""15-spoke Bright Polished machined aluminum wheels"",""Stingray"",""4395"",""0"",""4395"",""3999.45"",""3867.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,89,corvette,,,raw_price_schedule_row,"["""",""5JR"",""Outside Mirror Covers in Visible Carbon Fiber"","""",""1395"",""0"",""1395"",""1269.45"",""1227.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,90,corvette,,,raw_price_schedule_row,"["""",""5V5"",""Exposed Carbon Fiber spoiler"",""Z06 & Grand Sport X"",""5995"",""0"",""5995"",""5455.45"",""5275.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,91,corvette,,,raw_price_schedule_row,"["""",""5V5"",""Exposed Carbon Fiber spoiler"",""Stingray"",""8250"",""0"",""8250"",""7507.5"",""7260"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,92,corvette,,,raw_price_schedule_row,"["""",""5V7"",""Ground Effects, Black"",""Stingray"",""650"",""0"",""650"",""591.5"",""572"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,93,corvette,,,raw_price_schedule_row,"["""",""5VM"",""Visible Carbon Fiber Ground Effects"","""",""8295"",""0"",""8295"",""7548.45"",""7299.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,94,corvette,,,raw_price_schedule_row,"["""",""5W8"",""Carbon Fiber Ground Effects, Carbon Flash Metallic-painted"","""",""7295"",""0"",""7295"",""6638.45"",""6419.6"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,95,corvette,,,raw_price_schedule_row,"["""",""5ZB"",""Grand Sport logo wheel center caps"","""",""250"",""0"",""250"",""227.5"",""220"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,96,corvette,,,raw_price_schedule_row,"["""",""5ZC"",""Jake Logo Wheel Center Caps"","""",""250"",""0"",""250"",""227.5"",""220"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,97,corvette,,,raw_price_schedule_row,"["""",""5ZD"",""Carbon Flash Center Caps"","""",""250"",""0"",""250"",""227.5"",""220"",""0"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
